code,name,name_ascii,state
YAS,Aransas Pass,Aransas Pass,TX
OZP,Arapaho,Arapaho,OK
AAE,Arapahoe,Arapahoe,CO
XRP,Arapahoe,Arapahoe,NE
A2A,Ararat,Ararat,VA
A4A,Arbela,Arbela,MO
AV2,Arbor Vitae,Arbor Vitae,WI
ARU,Arbuckle,Arbuckle,CA
JBM,Arbutus,Arbutus,MD
AYD,Arbyrd,Arbyrd,MO
AC2,Arcade,Arcade,NY
JAR,Arcadia,Arcadia,CA
ARI,Arcadia,Arcadia,FL
JLM,Arcadia,Arcadia,IN
AIQ,Arcadia,Arcadia,LA
JDI,Arcadia,Arcadia,MO
ARZ,Arcadia,Arcadia,SC
ADI,Arcadia,Arcadia,WI
VUM,Arcanum,Arcanum,OH
ACV,Arcata,Arcata,CA
AHB,Archbald,Archbald,PA
ARO,Archbold,Archbold,OH
XAZ,Archdale,Archdale,NC
6AR,Archie,Archie,MO
AKV,Arcola,Arcola,IL
AXL,Arcola,Arcola,IN
XAY,Arcola,Arcola,LA
AR4,Arcola,Arcola,TX
ARC,Arctic Village,Arctic Village,AK
AYY,Arden,Arden,NC
ARH,Arden Hills,Arden Hills,MN
ZAA,Ardena,Ardena,NJ
AR9,Ardmore,Ardmore,AL
ADM,Ardmore,Ardmore,OK
DM6,Ardmore,Ardmore,PA
AME,Ardmore,Ardmore,TN
ADY,Ardsley,Ardsley,NY
4RN,Arena,Arena,WI
ARS,Arenzville,Arenzville,IL
7AR,Argenta,Argenta,IL
XBB,Argo,Argo,IL
AGJ,Argos,Argos,IN
A4R,Argusville,Argusville,ND
JYR,Argyle,Argyle,NY
9AR,Argyle,Argyle,TX
A3Y,Argyle,Argyle,WI
ID7,Arimo,Arimo,ID
IOA,Arion,Arion,IA
A3R,Aristes,Aristes,PA
RIU,Ariton,Ariton,AL
ADA,Arkadelphia,Arkadelphia,AR
ASC,Arkansas City,Arkansas City,AR
ARK,Arkansas City,Arkansas City,KS
KOM,Arkoma,Arkoma,OK
NK7,Arkport,Arkport,NY
XAI,Arlee,Arlee,MT
ARR,Arleta,Arleta,CA
ARL,Arley,Arley,AL
R99,Arlington,Arlington,AL
AGZ,Arlington,Arlington,AZ
ARD,Arlington,Arlington,GA
IGN,Arlington,Arlington,IA
RLG,Arlington,Arlington,IL
IGB,Arlington,Arlington,IN
ZAT,Arlington,Arlington,MA
ARE,Arlington,Arlington,MN
QAR,Arlington,Arlington,NJ
JIG,Arlington,Arlington,NY
ARF,Arlington,Arlington,OR
AGT,Arlington,Arlington,SD
ARJ,Arlington,Arlington,TX
ARP,Arlington,Arlington,VA
XBC,Arlington,Arlington,VT
AZZ,Arlington,Arlington,WA
XBM,Arlington,Arlington,WI
JLH,Arlington Heights,Arlington Heights,IL
AGW,"Arlington, Houston","Arlington, Houston",TN
AT3,"Arlington, Knox","Arlington, Knox",TN
IGT,"Arlington, Shelby","Arlington, Shelby",TN
AAP,Arlington/Baltimore,Arlington/Baltimore,MD
AAK,Armada,Armada,MI
AH9,Armagh,Armagh,PA
AXC,Armonk,Armonk,NY
AXE,Armorel,Armorel,AR
AO3,Armour,Armour,SD
